"name","market_id","sub_market_id"
"Savy Park IV",5,25
"Fortek Park",5,26
VEP,5,26
"Logicenter Cuautitlan III",3,13
"Logipark II",3,13
"Tlalnepark Logistico",3,19
Tultepark,3,22
"Prologis Parks Cedros",3,18
"Amistad Chuy Maria Coahuila",8,40
"Monterrey Ind Park",5,25
"Finsa Tijuana Este",13,64
"Finsa Tlaquepaque",10,48
"Prosperity Cienega de Flores",5,26
"Industrial Gate Tijuana",13,64
"Libramiento II",5,27
"San Jeronimo",11,54
"Xicontencatl I",7,37
"AI Independencia II",11,56
"Savy Park",5,25
"Private Owner",9,43
"Pocket Park Norte",5,26
"World Park Tlalnepantla IV",3,19
Tepozbalas,3,18
"LogiPark III",3,18
"Tultepec Microparks",3,22
"Davisa Santa Maria",8,40
"Davisa Santa Monica",8,39
Valdepenas,10,51
"Vynmsa Acueducto",5,28
"Vesta Park Morelos",13,63
"Vesta Guadalupe",5,28
"Vesta Park Pacifico",13,67
"Diamante III Cienega de Flores",5,26
"Cuautitlan City Park",3,13
"Central Coyol",3,16
"Libramiento Noroeste 1",5,27
"Global Park",18,82
"PIT 2",10,50
Alba,10,50
Plataforma,10,48
"Industrial Gate Pacific",13,64
"Hubs Park Northwestern",13,64
"Miller Park",5,26
"Carza Industrial Complex",5,25
"Hub Park Independencia",11,55
"Hub Park Juarez 02",11,55
"American Industries",6,33
"Vesta Park Aeropuerto",2,7
"Alliuz Apodaca",5,25
"Visan Santa Catarina",5,31
Autodromo,5,26
"Los Aztecas",11,52
"Aros Santa Rosa",5,25
"Nexxus Escobedo Center",5,27
"Realito II",13,64
MBP,5,25
"Avante Aeropuerto",5,25
"Logistico Norte",6,33
"Vynmsa Santa Catarina II",5,31
"Vesta Aguascalientes I",16,78
ADN,5,26
"Arende Guadalupe",5,28
"Los Altos",13,64
"CPA AND",5,26
"Tule 3",3,22
"Proximity Parks Lomas Verdes",3,16
"Vynmsa Ramos Arizpe I",8,40
"Vynmsa Celaya",1,1
"Prologis Park Apodaca East",5,25
"Milenium Apdaca",5,25
"Independencia - Puerto de Palos",11,57
"Mendel Cerritos",8,41
"Tlalnepantla Industrial Zone",3,19
Opcion,2,9
"Aros Libramiento 4",5,27
Tecnologico,11,55
"Plataforma Park",10,48
"East Park",14,73
"La Luz",3,13
"Xhala Park",3,13
"Vesta Park Punta Norte",3,13
